title,location,salary,link
㈜마이셀럽스 파이썬(Python) 데이터 전처리 알바,서울 전체,"시급8,800원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72891393
㈜에이모 (주)에이모 AQM(인공지능 학습용 데이터 품질 관리자) 모,경기 성남시,"월급2,100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72887771
데이터가공기업 (초보) 퀄러티 매니저(데이터 가공 및 검수) 모집,재택근무,"월급1,800,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72886881
㈜인사이트정보 데이터 검수 및 검증 작업 아르바이트직 구인 (PC사,서울 강남구,"월급1,830,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72886833
㈜마루HR [청라] 하나금융티아이 본사 인사전략팀 사무지원 채용,인천 전체,"월급1,900,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72880023
"VOC 데이터관리, 자 [서울중구/유명기업] 고객서비스팀 사무",서울 중구,"월급2,000,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72872909
데이터수집 및 정리 [서울중구/외국계기업] 데이터입력 사무 모집,서울 중구,"월급2,350,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72872866
대구은행/와이즈넛 [주5일/4개월 단기 계약] AI 챗봇 시스템 데이,서울 강남구,"월급1,950,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72864259
외국계 기업 [삼성역/외국계기업] 통계 및 데이터 취합관련 사원,서울 강남구,"연봉31,500,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72841874
하나금융티아이 [청라/하나금융그룹]하나금융티아이 본사 신문화팀,인천 서구,"월급1,900,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72829676
한국기업데이터-11 [자체직/월251] 중소기업고객 간단 CS상담 /,서울 양천구,"월급2,510,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72824930
신나라 음반 데이터 입력하실분 모집합니다 / 20세-35세,경기 용인시,"월급1,900,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72843480
지앤비시스템 [월 216만] 신세계아이앤씨 김포데이터센터 야간보안,경기 김포시,"월급2,165,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72833524
㈜프레시토탈 간편식품분야 1위기업 데이터관리 사원 채용,경기 용인시,"연봉36,000,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72832270
한국기업데이터/신 [자체계약직] 한국기업데이터 중소기업평가 접,서울 양천구,"월급2,200,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72804391
한국기업데이터 [여의도/월 220만] 단기6개월 PC 유지보수 직원 모,서울 전체,"월급2,200,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72800675
㈜트랜스코스모스코 [월230만/디지털 마케팅/중식제공] 쇼핑몰 데이,서울 강남구,"월급2,300,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72786231
다솜리서치 명령어 AI 데이터구축 미션수행자 모집 (상세내용확인),재택근무,"건별45,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72814684
이프린팅 [이프린팅] 야간후가공 및 데이터 접수직원(장기) 모집,서울 강북구,"시급12,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72809790
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",재택근무,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72989280
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",재택근무,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72976043
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",서울 강서구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987143
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",서울 강남구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987142
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",서울 강서구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987141
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",서울 구로구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987140
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",경기 안산시,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987139
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",경기 안양시,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987138
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",경기 고양시,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987136
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",경기 남양주시,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987134
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",경기 용인시,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987133
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",서울 강북구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987132
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",경기 수원시,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987131
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",서울 서초구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987129
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",경기 고양시,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987006
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",서울 성동구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987005
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",서울 중랑구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987004
